ID_Ricetta,Titolo,Immagine,Descrizione,Tempo_Preparazione_Min,Tempo_Cottura_Min,Difficolta_1_a_5,Autore_ID,Ingredienti,Diete,Categoria,Porzioni,Procedimento,Note,Immagini_Passaggi,Metodo_Cottura,Strumentazione
1,Arancini al ragù siciliani,img/arancini-ragu.jpg,Palline di riso dorate e croccanti con cuore di ragù: un classico della cucina siciliana da gustare caldo.,45,25,3,0,"riso Arborio, ragù di manzo, piselli, concentrato di pomodoro, caciocavallo, cipolla, carota, pangrattato, uova, olio, sale",Senza Glutine,Antipasto,8 arancini,"Lessa il riso in brodo e stendilo su una teglia; lascialo raffreddare completamente.|||Prepara un ragù con cipolla, carota, carne macinata e pomodoro (almeno 40 minuti).|||Forma delle palline, incava al centro e riempi con ragù e caciocavallo.|||Passa in uovo e pangrattato, eventualmente ripeti per più croccantezza.|||Friggi in olio a 170°C fino a doratura uniforme.",Il riso del giorno prima si modella molto meglio.,,Frittura,"Pentola, padella, frigorifero"
2,Avocado toast al limone,img/avocado-toast.avif,"Pane tostato con crema di avocado, limone e semi: colazione fresca e nutriente in pochi minuti.",10,5,1,0,"avocado, pane integrale, limone, semi di sesamo, olio extravergine, sale, pepe","Vegetariano, Vegano, Senza Lattosio",Antipasto,2 persone,"Tosta il pane fino a renderlo croccante.|||Schiaccia gli avocado con succo di limone, sale e pepe.|||Spalma sulle fette calde e completa con semi e olio.",Aggiungi pomodorini a cubetti per una variante estiva.,,Senza Cottura,Tostapane
3,Baccalà lesso e condito,img/baccala-lesso.jpg,"Secondo piatto tradizionale con baccalà tenero, patate e olive: sapore mediterraneo e pulito.",20,35,2,0,"baccalà ammollato, patate, olive verdi, aglio, prezzemolo, olio extravergine, pepe","Senza Glutine, Senza Lattosio",Secondo,4 persone,"Sbollenta il baccalà 5 minuti, scolalo e spezzettalo.|||Lessa le patate e tagliale a rondelle.|||In padella soffriggi aglio, unisci baccalà e patate con poca acqua di cottura.|||Cuoci 15 minuti a fuoco medio mescolando delicatamente.|||Servi con olive e prezzemolo fresco.",Ammolla il baccalà almeno 24 ore cambiando l'acqua.,,Padella,"Pentola, padella larga"
4,Spaghetti cacio e pepe,img/cacio-e-pepe.avif,Icona della cucina romana: cremosità vellutata di pecorino e pepe nero tostato.,10,12,2,0,"spaghetti, pecorino Romano, pepe nero, sale",Vegetariano,Primo,4 persone,"Cuoci gli spaghetti in acqua salata.|||Tosta il pepe in padella e macinalo grossolanamente.|||Crea una crema con pecorino e acqua di cottura.|||Salta la pasta con pepe e crema, fuori dal fuoco aggiungi acqua fino a consistenza setosa.",Non usare burro: la cremosità viene solo da pecorino e acqua.,,Padella,"Pentola, padella, mortaio"
5,Falafel di ceci croccanti,img/falafel.jpeg,"Polpette speziate di ceci dorate, perfette con hummus e verdure fresche.",25,15,2,0,"ceci secchi ammollati, cipolla, aglio, prezzemolo, cumino, coriandolo, farina, olio","Vegetariano, Vegano, Senza Lattosio",Antipasto,4 persone,"Frulla ceci con cipolla, aglio, erbe e spezie (lasciando consistenza granulosa).|||Aggiungi farina, forma palline appiattite e riposa in frigo 20 minuti.|||Friggi in olio caldo fino a doratura.|||Servi con salsa yogurt o hummus.","Usa ceci ammollati, non quelli in scatola già cotti.",,Frittura,"Frullatore, padella"
6,Involtini di carne al sugo,img/involtini-carne.jpeg,"Fettine arrotolate con prosciutto e formaggio, cotte lentamente nel pomodoro.",25,40,2,0,"fettine di vitello, prosciutto cotto, parmigiano, passata di pomodoro, carota, cipolla, olio, sale, pepe",,Secondo,4 persone,"Farcisci le fettine con prosciutto e parmigiano, arrotola e fissa con stecchini.|||Rosola in padella con olio.|||Aggiungi soffritto e pomodoro, cuoci coperto 35 minuti.|||Togli gli stecchini e servi con il sugo.",Ottimi con purè di patate.,,Padella,Padella con coperchio
7,Lasagne alla bolognese,img/lasagne.webp,"Strati di pasta, ragù ricco e besciamella gratinata: il piatto comfort per eccellenza.",50,45,3,0,"sfoglie per lasagne, ragù bolognese, besciamella, parmigiano, burro, noce moscata",,Primo,6 persone,"Prepara ragù e besciamella.|||Stendi ragù sul fondo teglia e alterna sfoglie, ragù, besciamella e parmigiano.|||Termina con besciamella e parmigiano abbondanti.|||Inforna a 180°C per 40 minuti.",Lascia riposare 10 minuti prima di tagliare.,,Forno,Teglia da forno
8,Pastiera napoletana,img/pastiera-napoletana.webp,"Dolce pasquale con ricotta, grano e profumi di agrumi: tradizione campana in ogni fetta.",60,50,3,0,"ricotta di bufala, grano cotto, uova, zucchero, scorza di arancia e limone, pasta brisée, acqua di fiori d'arancio",Vegetariano,Dolce,8 fette,"Mescola ricotta setacciata, zucchero, uova e aromi.|||Incorpora il grano cotto.|||Fodera la teglia con brisée, versa il ripieno e decora con strisce di pasta.|||Cuoci a 170°C per 50 minuti.",Meglio prepararla il giorno prima.,,Forno,Teglia a cerniera
9,Insalata estiva leggera,img/insalata-estiva.jpg,"Verdure fresche, mozzarella e basilico: piatto leggero ideale per l'estate.",15,0,1,0,"melanzane, zucchine, mozzarella, pomodorini, basilico, olio extravergine, origano, sale","Vegetariano, Senza Glutine",Antipasto,4 persone,"Taglia verdure a cubetti e pomodorini a metà.|||Condisci con olio, origano, sale e basilico.|||Mescola con mozzarella a cubetti e servi freddo.",Aggiungi olive nere per più carattere.,,Senza Cottura,Ciotola grande
10,Sandwich di mozzarella e pomodoro,img/sandwich-mozzarella.jpg,"Panino dorato con mozzarella filante, pomodoro e basilico: semplice e irresistibile.",10,5,1,0,"panini ciabatta, mozzarella, pomodori, basilico, olio extravergine, sale, origano",Vegetariano,Antipasto,2 panini,"Farcisci i panini con mozzarella, pomodoro e basilico.|||Scalda in padella fino a mozzarella filante.|||Condisci con olio, sale e origano.",Usa mozzarella di bufala per più cremosità.,,Padella,Piastra o padella
